hotel_name,n_comment,rank_in_country,url
班尼飯店,752 則評論,"超值：第 92，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d4839159-Reviews-The_Bene_Hotel-Kuta_Kuta_District_Bali.html
Hotel De Paviljoen,149 則評論,"超值：第 93，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d10791689-Reviews-Hotel_De_Paviljoen-Bandung_West_Java_Java.html
阿斯頓帝國貝克西飯店及會議中心,356 則評論,"超值：第 94，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297705-d7234067-Reviews-Aston_Imperial_Bekasi_Hotel_Conference_Center-Bekasi_West_Java_Java.html
日惹桑提卡酒店本館,453 則評論,"超值：第 95，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d447083-Reviews-Hotel_Santika_Premiere_Jogja-Yogyakarta_Java.html
Atria Hotel Magelang,468 則評論,"超值：第 96，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297709-d3675768-Reviews-Atria_Hotel_Magelang-Magelang_Central_Java_Java.html
梅森青松酒店,204 則評論,"超值：第 97，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d1389881-Reviews-Mason_Pine_Hotel-Bandung_West_Java_Java.html
洛克哈雷吉安酒店,509 則評論,"超值：第 98，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d597726-Reviews-The_Lokha_Legian-Legian_Kuta_District_Bali.html
Swiss-Belhotel Harbour Bay,691 則評論,"超值：第 99，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297717-d3750312-Reviews-Swiss_Belhotel_Harbour_Bay-Batam_Riau_Archipelago_Riau_Islands_Province.html
巴厘瑞莎塔度假村,896 則評論,"超值：第 100，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d308415-Reviews-Risata_Bali_Resort_Spa-Kuta_Kuta_District_Bali.html
阿克瑪尼雷吉安飯店,998 則評論,"超值：第 101，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d3136074-Reviews-Akmani_Legian-Legian_Kuta_District_Bali.html
萬隆加州酒店,248 則評論,"超值：第 102，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d5252554-Reviews-Hotel_California_Bandung-Bandung_West_Java_Java.html
PRIME PARK Hotel Bandung,202 則評論,"超值：第 103，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d4108095-Reviews-PRIME_PARK_Hotel_Bandung-Bandung_West_Java_Java.html
歐塔利亞別墅酒店,706 則評論,"超值：第 104，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g664666-d2195603-Reviews-Les_Villas_Ottalia-Gili_Trawangan_Gili_Islands_Lombok_West_Nusa_Tenggara.html
藝術飯店,566 則評論,"超值：第 105，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d3313903-Reviews-Artotel_Surabaya-Surabaya_East_Java_Java.html
庫塔賓當酒店,536 則評論,"超值：第 106，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d3675836-Reviews-Bintang_Kuta_Hotel-Kuta_Kuta_District_Bali.html
Hotel Neo Dipatiukur,351 則評論,"超值：第 107，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d8380812-Reviews-Hotel_Neo_Dipatiukur-Bandung_West_Java_Java.html
普瑞拉加酒店,645 則評論,"超值：第 108，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d1197843-Reviews-Puri_Raja-Legian_Kuta_District_Bali.html
阿斯頓索羅飯店,525 則評論,"超值：第 109，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297713-d6939671-Reviews-Aston_Solo_Hotel-Solo_Central_Java_Java.html
穆納特別墅,300 則評論,"超值：第 110，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297701-d309164-Reviews-De_Munut_Balinese_Resort_Spa-Ubud_Bali.html
Holiday Inn Express Surabaya Centerplaza,191 則評論,"超值：第 111，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d6729681-Reviews-Holiday_Inn_Express_Surabaya_Centerplaza-Surabaya_East_Java_Java.html
塔爾奇平房,390 則評論,"超值：第 112，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g1137831-d2183195-Reviews-Tarci_Bungalow-Nusa_Lembongan_Bali.html
棉蘭S山蒂卡首映酒店及會議,637 則評論,"超值：第 113，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297725-d2587201-Reviews-Hotel_Santika_Premiere_Dyandra-Medan_North_Sumatra_Sumatra.html
布和絲娃度假村,286 則評論,"超值：第 114，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297701-d614385-Reviews-Bhanuswari_Resort_Spa-Ubud_Bali.html
雅加達東薈城智選假日酒店,336 則評論,"超值：第 115，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d4766280-Reviews-Holiday_Inn_Express_Jakarta_Pluit_Citygate-Jakarta_Java.html
